id_servicio,titulo,descripcion,habilidades_requeridas,fecha_publicacion,estado
3538,Programador Python,"Se requiere conocimiento en instalaciones eléctricas, html, electricidad.","Instalaciones eléctricas, HTML, Electricidad",2025-03-16,Cerrado
3539,Redactor de contenido,"Se requiere conocimiento en carpintería, terapia física.","Carpintería, Terapia Física",2025-01-14,Cerrado
3540,Diseñador industrial,"Se busca profesional con experiencia en atención al cliente, contabilidad, traducción.","Atención al cliente, Contabilidad, Traducción",2025-03-01,Cerrado
3541,Mecánico automotriz,"Trabajo temporal relacionado con javascript, electricidad.","JavaScript, Electricidad",2024-12-20,Abierto
3542,Profesor de inglés,"Trabajo temporal relacionado con seo, programación en java, tramitología, photoshop.","SEO, Programación en Java, Tramitología, Photoshop",2025-02-21,Cerrado
3543,Técnico en soporte,"Importante empresa solicita apoyo en el área de photoshop, atención al cliente, contabilidad.","Photoshop, Atención al cliente, Contabilidad",2025-01-11,Cerrado
3544,Editor de video,"Importante empresa solicita apoyo en el área de instalaciones eléctricas, soporte técnico, ciencia de datos.","Instalaciones eléctricas, Soporte técnico, Ciencia de datos",2024-12-06,Abierto
3545,Fotógrafo,"Importante empresa solicita apoyo en el área de atención al cliente, electricidad.","Atención al cliente, Electricidad",2025-02-16,Cerrado
3546,Editor de video,"Se requiere conocimiento en diseño ux/ui, html.","Diseño UX/UI, HTML",2025-01-21,Cerrado
3547,Desarrollador web,"Colaboración independiente para tareas de diseño ux/ui, soporte técnico, javascript, mecánica automotriz.","Diseño UX/UI, Soporte técnico, JavaScript, Mecánica automotriz",2024-11-09,Cerrado
3548,Técnico en soporte,"Se busca profesional con experiencia en servicio al cliente, css, redacción, atención al cliente.","Servicio al cliente, CSS, Redacción, Atención al cliente",2025-04-04,Abierto
3549,Traductor,"Se requiere conocimiento en marketing digital, javascript, soporte técnico, illustrator.","Marketing digital, JavaScript, Soporte técnico, Illustrator",2025-02-18,Abierto
3550,Terapista físico,"Se requiere conocimiento en servicio al cliente, soporte técnico, programación en java.","Servicio al cliente, Soporte técnico, Programación en Java",2025-03-29,Abierto
3551,Auxiliar contable,"Importante empresa solicita apoyo en el área de illustrator, contabilidad.","Illustrator, Contabilidad",2024-11-11,Cerrado
3552,Barista,"Se busca profesional con experiencia en administración, traducción, marketing digital, servicio al cliente.","Administración, Traducción, Marketing digital, Servicio al cliente",2025-04-18,Cerrado
3553,Auxiliar contable,"Se requiere conocimiento en administración, contabilidad, atención al cliente, ventas.","Administración, Contabilidad, Atención al cliente, Ventas",2025-03-13,Cerrado
3554,Programador Python,"Se requiere conocimiento en programación en java, diseño gráfico, seo.","Programación en Java, Diseño gráfico, SEO",2024-11-27,Abierto
3555,Community manager,"Importante empresa solicita apoyo en el área de illustrator, diseño ux/ui.","Illustrator, Diseño UX/UI",2025-02-03,Abierto
3556,Diseñador gráfico,"Colaboración independiente para tareas de css, programación en java, python, illustrator.","CSS, Programación en Java, Python, Illustrator",2025-03-10,Abierto
3557,Barista,"Trabajo temporal relacionado con tramitología, ciencia de datos.","Tramitología, Ciencia de datos",2025-02-12,Cerrado
3558,Mecánico automotriz,"Se busca profesional con experiencia en seo, diseño gráfico, photoshop.","SEO, Diseño gráfico, Photoshop",2024-12-07,Cerrado
3559,Cocinero,"Importante empresa solicita apoyo en el área de marketing digital, terapia física.","Marketing digital, Terapia Física",2024-12-09,Abierto
3560,Desarrollador web,"Importante empresa solicita apoyo en el área de terapia física, ventas, illustrator, diseño gráfico.","Terapia Física, Ventas, Illustrator, Diseño gráfico",2024-12-07,Cerrado
3561,Mecánico automotriz,"Se busca profesional con experiencia en soporte técnico, administración, python.","Soporte técnico, Administración, Python",2025-03-13,Cerrado
3562,Técnico en soporte,"Se requiere conocimiento en terapia física, diseño gráfico, ciencia de datos, atención al cliente.","Terapia Física, Diseño gráfico, Ciencia de datos, Atención al cliente",2025-03-18,Cerrado
3563,Técnico en soporte,"Se requiere conocimiento en marketing digital, css, administración, diseño gráfico.","Marketing digital, CSS, Administración, Diseño gráfico",2025-03-25,Abierto
3564,Desarrollador web,"Trabajo temporal relacionado con diseño ux/ui, seo, carpintería, terapia física.","Diseño UX/UI, SEO, Carpintería, Terapia Física",2024-11-15,Abierto
3565,Repartidor,"Importante empresa solicita apoyo en el área de ciencia de datos, css, programación en java, carpintería.","Ciencia de datos, CSS, Programación en Java, Carpintería",2024-11-30,Abierto
3566,Desarrollador web,"Trabajo temporal relacionado con programación en java, python.","Programación en Java, Python",2025-04-14,Cerrado
3567,Barista,"Colaboración independiente para tareas de carpintería, soporte técnico, diseño gráfico, ventas.","Carpintería, Soporte técnico, Diseño gráfico, Ventas",2025-01-18,Cerrado
3568,Maestro de matemáticas,"Trabajo temporal relacionado con servicio al cliente, python, ciencia de datos.","Servicio al cliente, Python, Ciencia de datos",2025-01-14,Abierto
3569,Programador Python,"Importante empresa solicita apoyo en el área de servicio al cliente, html, traducción.","Servicio al cliente, HTML, Traducción",2025-04-10,Abierto
3570,Barista,"Trabajo temporal relacionado con inglés avanzado, administración, marketing digital, instalaciones eléctricas.","Inglés avanzado, Administración, Marketing digital, Instalaciones eléctricas",2024-11-20,Abierto
3571,Profesor de inglés,"Trabajo temporal relacionado con css, html, illustrator, traducción.","CSS, HTML, Illustrator, Traducción",2025-01-27,Abierto
3572,Programador Python,"Importante empresa solicita apoyo en el área de instalaciones eléctricas, atención al cliente.","Instalaciones eléctricas, Atención al cliente",2025-04-03,Cerrado
3573,Electricista,"Se busca profesional con experiencia en inglés avanzado, ciencia de datos, redacción, atención al cliente.","Inglés avanzado, Ciencia de datos, Redacción, Atención al cliente",2024-10-30,Abierto
3574,Redactor de contenido,"Trabajo temporal relacionado con traducción, seo, javascript.","Traducción, SEO, JavaScript",2025-02-15,Abierto
3575,Enfermero auxiliar,"Colaboración independiente para tareas de electricidad, ventas.","Electricidad, Ventas",2024-12-13,Cerrado
3576,Psicólogo educativo,"Colaboración independiente para tareas de ventas, traducción, marketing digital, soporte técnico.","Ventas, Traducción, Marketing digital, Soporte técnico",2025-01-22,Abierto
3577,Cocinero,"Trabajo temporal relacionado con servicio al cliente, programación en java, photoshop.","Servicio al cliente, Programación en Java, Photoshop",2024-12-07,Abierto
3578,Diseñador gráfico,"Se requiere conocimiento en marketing digital, ciencia de datos.","Marketing digital, Ciencia de datos",2025-03-03,Abierto
3579,Diseñador UX/UI,"Trabajo temporal relacionado con marketing digital, javascript.","Marketing digital, JavaScript",2024-11-28,Abierto
3580,Fotógrafo,"Se busca profesional con experiencia en diseño ux/ui, ciencia de datos, atención al cliente, html.","Diseño UX/UI, Ciencia de datos, Atención al cliente, HTML",2025-01-29,Abierto
3581,Maestro de matemáticas,"Colaboración independiente para tareas de html, marketing digital.","HTML, Marketing digital",2024-12-28,Abierto
3582,Terapista físico,"Importante empresa solicita apoyo en el área de soporte técnico, javascript, html, seo.","Soporte técnico, JavaScript, HTML, SEO",2025-02-05,Abierto
3583,Barista,"Se requiere conocimiento en ventas, marketing digital, servicio al cliente, programación en java.","Ventas, Marketing digital, Servicio al cliente, Programación en Java",2024-12-17,Abierto
3584,Editor de video,"Se busca profesional con experiencia en atención al cliente, illustrator.","Atención al cliente, Illustrator",2024-12-01,Cerrado
3585,Profesor de inglés,"Importante empresa solicita apoyo en el área de electricidad, javascript, tramitología, photoshop.","Electricidad, JavaScript, Tramitología, Photoshop",2025-04-22,Cerrado
3586,Electricista,"Se busca profesional con experiencia en traducción, programación en java, administración, servicio al cliente.","Traducción, Programación en Java, Administración, Servicio al cliente",2025-01-13,Cerrado
3587,Instalador eléctrico,"Se requiere conocimiento en javascript, servicio al cliente, inglés avanzado, marketing digital.","JavaScript, Servicio al cliente, Inglés avanzado, Marketing digital",2025-04-24,Cerrado
3588,Terapista físico,"Se busca profesional con experiencia en instalaciones eléctricas, electricidad, diseño ux/ui.","Instalaciones eléctricas, Electricidad, Diseño UX/UI",2024-12-15,Cerrado
3589,Especialista en SEO,"Colaboración independiente para tareas de instalaciones eléctricas, contabilidad, atención al cliente, servicio al cliente.","Instalaciones eléctricas, Contabilidad, Atención al cliente, Servicio al cliente",2025-04-09,Abierto
3590,Diseñador industrial,"Importante empresa solicita apoyo en el área de marketing digital, css, administración.","Marketing digital, CSS, Administración",2025-03-31,Abierto
3591,Asistente administrativo,"Se busca profesional con experiencia en contabilidad, traducción.","Contabilidad, Traducción",2025-02-21,Cerrado
3592,Diseñador gráfico,"Colaboración independiente para tareas de administración, seo, atención al cliente, diseño gráfico.","Administración, SEO, Atención al cliente, Diseño gráfico",2024-11-12,Abierto
3593,Vendedor telefónico,"Trabajo temporal relacionado con ventas, servicio al cliente, programación en java, html.","Ventas, Servicio al cliente, Programación en Java, HTML",2025-01-14,Abierto
3594,Psicólogo educativo,"Se requiere conocimiento en programación en java, traducción.","Programación en Java, Traducción",2025-04-10,Abierto
3595,Editor de video,"Se requiere conocimiento en terapia física, contabilidad, ciencia de datos.","Terapia Física, Contabilidad, Ciencia de datos",2025-04-12,Cerrado
3596,Terapista físico,"Se busca profesional con experiencia en electricidad, contabilidad.","Electricidad, Contabilidad",2024-11-20,Abierto
3597,Instalador eléctrico,"Colaboración independiente para tareas de javascript, seo, illustrator, terapia física.","JavaScript, SEO, Illustrator, Terapia Física",2025-01-07,Abierto
3598,Profesor de inglés,"Importante empresa solicita apoyo en el área de instalaciones eléctricas, tramitología, mecánica automotriz.","Instalaciones eléctricas, Tramitología, Mecánica automotriz",2024-12-09,Abierto
3599,Técnico en soporte,"Importante empresa solicita apoyo en el área de marketing digital, redacción, contabilidad, ciencia de datos.","Marketing digital, Redacción, Contabilidad, Ciencia de datos",2025-03-28,Abierto
3600,Asistente administrativo,"Se busca profesional con experiencia en administración, illustrator, python.","Administración, Illustrator, Python",2024-11-20,Abierto
3601,Diseñador UX/UI,"Se requiere conocimiento en photoshop, terapia física, atención al cliente.","Photoshop, Terapia Física, Atención al cliente",2025-04-21,Abierto
3602,Enfermero auxiliar,"Colaboración independiente para tareas de programación en java, atención al cliente, electricidad, terapia física.","Programación en Java, Atención al cliente, Electricidad, Terapia Física",2024-11-14,Abierto
3603,Mecánico automotriz,"Colaboración independiente para tareas de python, terapia física, html.","Python, Terapia Física, HTML",2025-04-09,Abierto
3604,Psicólogo educativo,"Trabajo temporal relacionado con html, servicio al cliente, traducción.","HTML, Servicio al cliente, Traducción",2025-02-25,Abierto
3605,Auxiliar contable,"Importante empresa solicita apoyo en el área de ventas, traducción, atención al cliente, instalaciones eléctricas.","Ventas, Traducción, Atención al cliente, Instalaciones eléctricas",2025-04-24,Abierto
3606,Terapista físico,"Se busca profesional con experiencia en carpintería, tramitología, photoshop, css.","Carpintería, Tramitología, Photoshop, CSS",2025-03-20,Cerrado
3607,Especialista en SEO,"Colaboración independiente para tareas de atención al cliente, diseño ux/ui.","Atención al cliente, Diseño UX/UI",2025-02-10,Abierto
3608,Mecánico automotriz,"Se busca profesional con experiencia en administración, tramitología.","Administración, Tramitología",2025-03-25,Abierto
3609,Especialista en SEO,"Se requiere conocimiento en redacción, administración, servicio al cliente, contabilidad.","Redacción, Administración, Servicio al cliente, Contabilidad",2024-12-24,Cerrado
3610,Auxiliar contable,"Colaboración independiente para tareas de marketing digital, redacción, seo, administración.","Marketing digital, Redacción, SEO, Administración",2024-11-08,Cerrado
3611,Asistente administrativo,"Trabajo temporal relacionado con ventas, illustrator, marketing digital.","Ventas, Illustrator, Marketing digital",2024-11-19,Abierto
3612,Vendedor telefónico,"Importante empresa solicita apoyo en el área de soporte técnico, ventas, programación en java.","Soporte técnico, Ventas, Programación en Java",2025-02-18,Cerrado
3613,Diseñador gráfico,"Importante empresa solicita apoyo en el área de administración, tramitología.","Administración, Tramitología",2024-11-13,Cerrado
3614,Redactor de contenido,"Se requiere conocimiento en traducción, carpintería, servicio al cliente.","Traducción, Carpintería, Servicio al cliente",2024-12-15,Abierto
3615,Maestro de matemáticas,"Se requiere conocimiento en diseño ux/ui, python, tramitología, servicio al cliente.","Diseño UX/UI, Python, Tramitología, Servicio al cliente",2025-02-24,Abierto
3616,Asistente administrativo,"Colaboración independiente para tareas de terapia física, electricidad, programación en java, atención al cliente.","Terapia Física, Electricidad, Programación en Java, Atención al cliente",2025-01-06,Cerrado
3617,Barista,"Colaboración independiente para tareas de electricidad, illustrator, servicio al cliente.","Electricidad, Illustrator, Servicio al cliente",2025-03-01,Cerrado
3618,Auxiliar contable,"Colaboración independiente para tareas de tramitología, soporte técnico, marketing digital.","Tramitología, Soporte técnico, Marketing digital",2025-03-21,Cerrado
3619,Electricista,"Colaboración independiente para tareas de photoshop, contabilidad.","Photoshop, Contabilidad",2025-01-27,Cerrado
3620,Electricista,"Se requiere conocimiento en photoshop, ventas.","Photoshop, Ventas",2024-11-12,Cerrado
3621,Fotógrafo,"Trabajo temporal relacionado con contabilidad, seo.","Contabilidad, SEO",2024-12-20,Abierto
3622,Electricista,"Colaboración independiente para tareas de photoshop, diseño ux/ui, mecánica automotriz.","Photoshop, Diseño UX/UI, Mecánica automotriz",2024-11-30,Cerrado
3623,Desarrollador web,"Colaboración independiente para tareas de electricidad, diseño ux/ui.","Electricidad, Diseño UX/UI",2025-02-24,Cerrado
3624,Maestro de matemáticas,"Colaboración independiente para tareas de illustrator, administración, ciencia de datos.","Illustrator, Administración, Ciencia de datos",2024-11-24,Abierto
3625,Instalador eléctrico,"Se requiere conocimiento en soporte técnico, redacción.","Soporte técnico, Redacción",2025-02-02,Abierto
3626,Terapista físico,"Importante empresa solicita apoyo en el área de seo, marketing digital, html, mecánica automotriz.","SEO, Marketing digital, HTML, Mecánica automotriz",2025-01-17,Cerrado
3627,Barista,"Se busca profesional con experiencia en servicio al cliente, tramitología, electricidad, html.","Servicio al cliente, Tramitología, Electricidad, HTML",2024-12-19,Cerrado
3628,Instalador eléctrico,"Colaboración independiente para tareas de redacción, atención al cliente, servicio al cliente.","Redacción, Atención al cliente, Servicio al cliente",2024-12-06,Abierto
3629,Auxiliar contable,"Trabajo temporal relacionado con redacción, marketing digital, carpintería, diseño gráfico.","Redacción, Marketing digital, Carpintería, Diseño gráfico",2025-01-22,Cerrado
3630,Community manager,"Importante empresa solicita apoyo en el área de diseño gráfico, python.","Diseño gráfico, Python",2024-11-15,Abierto
3631,Diseñador industrial,"Se requiere conocimiento en instalaciones eléctricas, diseño ux/ui, programación en java.","Instalaciones eléctricas, Diseño UX/UI, Programación en Java",2025-02-17,Abierto
3632,Psicólogo educativo,"Se busca profesional con experiencia en electricidad, marketing digital, servicio al cliente.","Electricidad, Marketing digital, Servicio al cliente",2024-11-17,Cerrado
3633,Vendedor telefónico,"Se requiere conocimiento en mecánica automotriz, redacción, atención al cliente, css.","Mecánica automotriz, Redacción, Atención al cliente, CSS",2024-12-28,Cerrado
3634,Electricista,"Se requiere conocimiento en diseño gráfico, illustrator, contabilidad, seo.","Diseño gráfico, Illustrator, Contabilidad, SEO",2025-02-20,Abierto
3635,Instalador eléctrico,"Colaboración independiente para tareas de contabilidad, instalaciones eléctricas.","Contabilidad, Instalaciones eléctricas",2025-03-07,Cerrado
3636,Terapista físico,"Se busca profesional con experiencia en contabilidad, servicio al cliente, traducción.","Contabilidad, Servicio al cliente, Traducción",2025-02-07,Abierto
3637,Mecánico automotriz,"Colaboración independiente para tareas de css, traducción.","CSS, Traducción",2025-04-08,Cerrado
3638,Diseñador industrial,"Se busca profesional con experiencia en programación en java, redacción, javascript, atención al cliente.","Programación en Java, Redacción, JavaScript, Atención al cliente",2024-11-06,Abierto
3639,Barista,"Se busca profesional con experiencia en atención al cliente, diseño gráfico.","Atención al cliente, Diseño gráfico",2025-02-26,Cerrado
3640,Repartidor,"Colaboración independiente para tareas de diseño gráfico, diseño ux/ui.","Diseño gráfico, Diseño UX/UI",2024-11-21,Cerrado
3641,Técnico en soporte,"Colaboración independiente para tareas de python, ciencia de datos.","Python, Ciencia de datos",2024-11-24,Cerrado
3642,Profesor de inglés,"Importante empresa solicita apoyo en el área de javascript, contabilidad, css.","JavaScript, Contabilidad, CSS",2025-01-10,Cerrado
3643,Desarrollador web,"Se requiere conocimiento en marketing digital, terapia física, python, tramitología.","Marketing digital, Terapia Física, Python, Tramitología",2024-12-06,Cerrado
3644,Auxiliar contable,"Se busca profesional con experiencia en programación en java, photoshop, marketing digital.","Programación en Java, Photoshop, Marketing digital",2025-03-27,Abierto
3645,Psicólogo educativo,"Colaboración independiente para tareas de carpintería, traducción, diseño gráfico.","Carpintería, Traducción, Diseño gráfico",2024-12-26,Abierto
3646,Diseñador gráfico,"Colaboración independiente para tareas de ciencia de datos, traducción, atención al cliente, soporte técnico.","Ciencia de datos, Traducción, Atención al cliente, Soporte técnico",2025-02-06,Cerrado
3647,Repartidor,"Se requiere conocimiento en electricidad, atención al cliente, contabilidad, css.","Electricidad, Atención al cliente, Contabilidad, CSS",2024-11-16,Cerrado
3648,Community manager,"Se busca profesional con experiencia en traducción, seo, servicio al cliente.","Traducción, SEO, Servicio al cliente",2024-11-12,Cerrado
3649,Electricista,"Importante empresa solicita apoyo en el área de electricidad, redacción.","Electricidad, Redacción",2025-03-28,Cerrado
3650,Psicólogo educativo,"Trabajo temporal relacionado con terapia física, servicio al cliente, mecánica automotriz.","Terapia Física, Servicio al cliente, Mecánica automotriz",2024-11-17,Abierto
3651,Auxiliar contable,"Se busca profesional con experiencia en diseño ux/ui, redacción, python.","Diseño UX/UI, Redacción, Python",2025-04-19,Cerrado
3652,Fotógrafo,"Se busca profesional con experiencia en inglés avanzado, redacción, terapia física, css.","Inglés avanzado, Redacción, Terapia Física, CSS",2024-11-05,Cerrado
3653,Cocinero,"Importante empresa solicita apoyo en el área de atención al cliente, photoshop, contabilidad.","Atención al cliente, Photoshop, Contabilidad",2025-02-04,Abierto
3654,Enfermero auxiliar,"Colaboración independiente para tareas de python, illustrator.","Python, Illustrator",2025-01-14,Cerrado
3655,Mecánico automotriz,"Se requiere conocimiento en css, redacción, administración, ventas.","CSS, Redacción, Administración, Ventas",2024-10-27,Abierto
3656,Maestro de matemáticas,"Colaboración independiente para tareas de html, ventas.","HTML, Ventas",2025-01-20,Cerrado
3657,Desarrollador web,"Trabajo temporal relacionado con instalaciones eléctricas, seo.","Instalaciones eléctricas, SEO",2025-01-29,Abierto
3658,Desarrollador web,"Colaboración independiente para tareas de marketing digital, html, instalaciones eléctricas, illustrator.","Marketing digital, HTML, Instalaciones eléctricas, Illustrator",2024-11-04,Abierto
3659,Vendedor telefónico,"Se requiere conocimiento en tramitología, instalaciones eléctricas, seo, diseño ux/ui.","Tramitología, Instalaciones eléctricas, SEO, Diseño UX/UI",2025-01-04,Cerrado
3660,Asistente administrativo,"Se busca profesional con experiencia en terapia física, servicio al cliente.","Terapia Física, Servicio al cliente",2024-11-01,Abierto
3661,Diseñador gráfico,"Colaboración independiente para tareas de traducción, css, terapia física, carpintería.","Traducción, CSS, Terapia Física, Carpintería",2024-12-28,Cerrado
3662,Especialista en SEO,"Importante empresa solicita apoyo en el área de html, inglés avanzado, servicio al cliente, photoshop.","HTML, Inglés avanzado, Servicio al cliente, Photoshop",2024-11-20,Abierto
3663,Cocinero,"Se requiere conocimiento en servicio al cliente, mecánica automotriz.","Servicio al cliente, Mecánica automotriz",2025-01-08,Cerrado
3664,Enfermero auxiliar,"Trabajo temporal relacionado con carpintería, python.","Carpintería, Python",2025-04-07,Cerrado
3665,Cocinero,"Colaboración independiente para tareas de traducción, inglés avanzado.","Traducción, Inglés avanzado",2024-11-05,Cerrado
3666,Profesor de inglés,"Colaboración independiente para tareas de instalaciones eléctricas, redacción, soporte técnico.","Instalaciones eléctricas, Redacción, Soporte técnico",2025-01-25,Abierto
3667,Mecánico automotriz,"Colaboración independiente para tareas de electricidad, servicio al cliente, diseño gráfico.","Electricidad, Servicio al cliente, Diseño gráfico",2025-02-18,Cerrado
3668,Diseñador industrial,"Trabajo temporal relacionado con tramitología, programación en java.","Tramitología, Programación en Java",2025-01-26,Abierto
3669,Traductor,"Colaboración independiente para tareas de tramitología, programación en java, administración.","Tramitología, Programación en Java, Administración",2024-11-04,Abierto
3670,Mecánico automotriz,"Importante empresa solicita apoyo en el área de ciencia de datos, marketing digital, traducción, css.","Ciencia de datos, Marketing digital, Traducción, CSS",2025-01-11,Cerrado
3671,Enfermero auxiliar,"Trabajo temporal relacionado con electricidad, ventas.","Electricidad, Ventas",2024-12-21,Abierto
3672,Diseñador gráfico,"Importante empresa solicita apoyo en el área de administración, python, html.","Administración, Python, HTML",2025-03-05,Abierto
3673,Vendedor telefónico,"Se busca profesional con experiencia en servicio al cliente, tramitología, javascript.","Servicio al cliente, Tramitología, JavaScript",2024-11-10,Cerrado
3674,Electricista,"Colaboración independiente para tareas de html, servicio al cliente, marketing digital.","HTML, Servicio al cliente, Marketing digital",2025-03-20,Abierto
3675,Redactor de contenido,"Se requiere conocimiento en inglés avanzado, tramitología.","Inglés avanzado, Tramitología",2025-01-06,Cerrado
3676,Terapista físico,"Se busca profesional con experiencia en diseño gráfico, css, diseño ux/ui.","Diseño gráfico, CSS, Diseño UX/UI",2025-01-10,Abierto
3677,Psicólogo educativo,"Se requiere conocimiento en html, instalaciones eléctricas, css.","HTML, Instalaciones eléctricas, CSS",2025-01-20,Abierto
3678,Mecánico automotriz,"Importante empresa solicita apoyo en el área de illustrator, traducción.","Illustrator, Traducción",2025-04-09,Abierto
3679,Cocinero,"Trabajo temporal relacionado con carpintería, photoshop.","Carpintería, Photoshop",2024-11-08,Cerrado
3680,Instalador eléctrico,"Colaboración independiente para tareas de inglés avanzado, illustrator.","Inglés avanzado, Illustrator",2025-01-13,Cerrado
3681,Vendedor telefónico,"Trabajo temporal relacionado con python, mecánica automotriz, contabilidad, seo.","Python, Mecánica automotriz, Contabilidad, SEO",2025-01-12,Abierto
3682,Auxiliar contable,"Colaboración independiente para tareas de programación en java, atención al cliente.","Programación en Java, Atención al cliente",2025-02-19,Abierto
3683,Programador Python,"Importante empresa solicita apoyo en el área de css, javascript.","CSS, JavaScript",2024-10-29,Abierto
3684,Diseñador gráfico,"Trabajo temporal relacionado con photoshop, redacción, diseño ux/ui.","Photoshop, Redacción, Diseño UX/UI",2025-02-15,Cerrado
3685,Mecánico automotriz,"Trabajo temporal relacionado con servicio al cliente, redacción.","Servicio al cliente, Redacción",2024-12-03,Cerrado
3686,Maestro de matemáticas,"Se busca profesional con experiencia en administración, mecánica automotriz, python, programación en java.","Administración, Mecánica automotriz, Python, Programación en Java",2024-12-14,Abierto
3687,Vendedor telefónico,"Se busca profesional con experiencia en redacción, administración.","Redacción, Administración",2025-03-04,Cerrado
3688,Auxiliar contable,"Trabajo temporal relacionado con inglés avanzado, atención al cliente.","Inglés avanzado, Atención al cliente",2024-11-23,Cerrado
3689,Mecánico automotriz,"Se busca profesional con experiencia en servicio al cliente, mecánica automotriz, diseño gráfico.","Servicio al cliente, Mecánica automotriz, Diseño gráfico",2024-11-22,Abierto
3690,Profesor de inglés,"Colaboración independiente para tareas de programación en java, mecánica automotriz, diseño gráfico.","Programación en Java, Mecánica automotriz, Diseño gráfico",2024-12-28,Abierto
3691,Repartidor,"Colaboración independiente para tareas de mecánica automotriz, carpintería.","Mecánica automotriz, Carpintería",2025-03-13,Cerrado
3692,Fotógrafo,"Colaboración independiente para tareas de administración, traducción.","Administración, Traducción",2024-12-22,Abierto
3693,Asistente administrativo,"Se requiere conocimiento en css, html, seo.","CSS, HTML, SEO",2025-04-07,Cerrado
3694,Repartidor,"Se requiere conocimiento en python, marketing digital, javascript, inglés avanzado.","Python, Marketing digital, JavaScript, Inglés avanzado",2025-04-22,Abierto
3695,Electricista,"Importante empresa solicita apoyo en el área de css, mecánica automotriz.","CSS, Mecánica automotriz",2025-04-24,Cerrado
3696,Programador Python,"Se requiere conocimiento en diseño gráfico, tramitología, marketing digital, ventas.","Diseño gráfico, Tramitología, Marketing digital, Ventas",2025-02-22,Abierto
3697,Barista,"Importante empresa solicita apoyo en el área de diseño ux/ui, mecánica automotriz, illustrator, ventas.","Diseño UX/UI, Mecánica automotriz, Illustrator, Ventas",2024-10-29,Abierto
3698,Cocinero,"Colaboración independiente para tareas de inglés avanzado, javascript, illustrator.","Inglés avanzado, JavaScript, Illustrator",2025-04-23,Cerrado
3699,Barista,"Importante empresa solicita apoyo en el área de contabilidad, illustrator, inglés avanzado, css.","Contabilidad, Illustrator, Inglés avanzado, CSS",2025-01-28,Abierto
3700,Profesor de inglés,"Se busca profesional con experiencia en administración, mecánica automotriz.","Administración, Mecánica automotriz",2025-04-17,Abierto
3701,Traductor,"Se busca profesional con experiencia en mecánica automotriz, soporte técnico, ventas, traducción.","Mecánica automotriz, Soporte técnico, Ventas, Traducción",2024-12-18,Cerrado
3702,Maestro de matemáticas,"Trabajo temporal relacionado con diseño ux/ui, instalaciones eléctricas, servicio al cliente.","Diseño UX/UI, Instalaciones eléctricas, Servicio al cliente",2025-01-12,Abierto
3703,Community manager,"Colaboración independiente para tareas de seo, marketing digital, soporte técnico, javascript.","SEO, Marketing digital, Soporte técnico, JavaScript",2025-04-14,Cerrado
3704,Vendedor telefónico,"Importante empresa solicita apoyo en el área de ventas, traducción, html.","Ventas, Traducción, HTML",2024-12-10,Abierto
3705,Técnico en soporte,"Importante empresa solicita apoyo en el área de carpintería, illustrator, mecánica automotriz.","Carpintería, Illustrator, Mecánica automotriz",2025-03-17,Cerrado
3706,Barista,"Colaboración independiente para tareas de photoshop, marketing digital.","Photoshop, Marketing digital",2024-11-18,Abierto
3707,Diseñador gráfico,"Colaboración independiente para tareas de photoshop, carpintería.","Photoshop, Carpintería",2025-02-14,Abierto
3708,Desarrollador web,"Trabajo temporal relacionado con carpintería, contabilidad.","Carpintería, Contabilidad",2025-01-20,Cerrado
3709,Traductor,"Importante empresa solicita apoyo en el área de traducción, javascript, programación en java, carpintería.","Traducción, JavaScript, Programación en Java, Carpintería",2024-11-20,Abierto
3710,Especialista en SEO,"Trabajo temporal relacionado con diseño ux/ui, administración, mecánica automotriz, ciencia de datos.","Diseño UX/UI, Administración, Mecánica automotriz, Ciencia de datos",2024-12-12,Cerrado
3711,Enfermero auxiliar,"Se requiere conocimiento en contabilidad, diseño gráfico, inglés avanzado, instalaciones eléctricas.","Contabilidad, Diseño gráfico, Inglés avanzado, Instalaciones eléctricas",2025-01-25,Cerrado
3712,Diseñador gráfico,"Se requiere conocimiento en soporte técnico, css, traducción.","Soporte técnico, CSS, Traducción",2025-04-20,Abierto
3713,Instalador eléctrico,"Se busca profesional con experiencia en diseño ux/ui, diseño gráfico, ventas, css.","Diseño UX/UI, Diseño gráfico, Ventas, CSS",2025-02-06,Abierto
3714,Mecánico automotriz,"Importante empresa solicita apoyo en el área de administración, photoshop, atención al cliente.","Administración, Photoshop, Atención al cliente",2024-11-04,Abierto
3715,Especialista en SEO,"Colaboración independiente para tareas de css, ciencia de datos, electricidad, html.","CSS, Ciencia de datos, Electricidad, HTML",2024-10-27,Cerrado
3716,Diseñador gráfico,"Colaboración independiente para tareas de carpintería, soporte técnico, marketing digital, administración.","Carpintería, Soporte técnico, Marketing digital, Administración",2024-12-24,Abierto
3717,Psicólogo educativo,"Importante empresa solicita apoyo en el área de mecánica automotriz, python.","Mecánica automotriz, Python",2024-12-07,Abierto
3718,Psicólogo educativo,"Importante empresa solicita apoyo en el área de javascript, ciencia de datos, administración, redacción.","JavaScript, Ciencia de datos, Administración, Redacción",2025-02-03,Cerrado
3719,Repartidor,"Se requiere conocimiento en servicio al cliente, diseño gráfico, instalaciones eléctricas, tramitología.","Servicio al cliente, Diseño gráfico, Instalaciones eléctricas, Tramitología",2024-11-26,Cerrado
3720,Cocinero,"Colaboración independiente para tareas de seo, html.","SEO, HTML",2025-02-25,Abierto
