habilidades,experiencia_lab,calificacion,nivel,profesion,ID,disponibilidad
"Electricidad, Diseño gráfico, Ciencia de datos, Inglés avanzado",16,2.5,Senior,Otro,4658,Tiempo completo
"JavaScript, Administración, Inglés avanzado, Electricidad, Diseño UX/UI",20,2.2,Senior,Otro,4659,Tiempo completo
"Marketing digital, JavaScript, Electricidad, Soporte técnico, Programación en Java",8,4.8,Junior,Otro,4660,Tiempo completo
"Inglés avanzado, HTML, Electricidad, Marketing digital, Diseño gráfico",14,2.7,Senior,Otro,4661,Tiempo completo
"Atención al cliente, Mecánica automotriz, Instalaciones eléctricas",6,2.0,Senior,Otro,4662,Tiempo completo
"Photoshop, CSS, Instalaciones eléctricas",18,2.5,Medio,Otro,4663,Medio tiempo
"Tramitología, Photoshop, HTML, Traducción, Mecánica automotriz",15,4.9,Junior,Otro,4664,Tiempo completo
"Mecánica automotriz, Inglés avanzado, Traducción",4,3.6,Junior,Otro,4665,Medio tiempo
"HTML, Soporte técnico, Ventas, Mecánica automotriz",18,1.2,Junior,Otro,4666,Medio tiempo
"Atención al cliente, Electricidad, Carpintería, HTML",9,1.8,Senior,Otro,4667,Medio tiempo
"Ciencia de datos, Atención al cliente, Programación en Java, Diseño gráfico",11,3.3,Senior,Otro,4668,Tiempo completo
"Inglés avanzado, Instalaciones eléctricas, Servicio al cliente",4,1.4,Medio,Otro,4669,Medio tiempo
"Administración, Electricidad, Diseño gráfico, Python, Soporte técnico",4,1.2,Junior,Licenciado,4670,Tiempo completo
"Inglés avanzado, JavaScript, CSS, Contabilidad, Illustrator",13,2.2,Junior,Otro,4671,Medio tiempo
"Contabilidad, Programación en Java, Photoshop, Ventas",1,2.7,Junior,Otro,4672,Tiempo completo
"Ventas, Tramitología, Diseño gráfico",10,2.3,Senior,Otro,4673,Medio tiempo
"Carpintería, Terapia Física, Electricidad",1,4.8,Senior,Otro,4674,Medio tiempo
"Programación en Java, Marketing digital, Python, Instalaciones eléctricas, HTML",15,2.3,Medio,Otro,4675,Tiempo completo
"Mecánica automotriz, Soporte técnico, Redacción",14,3.6,Senior,Otro,4676,Medio tiempo
"Instalaciones eléctricas, Traducción, Redacción",1,4.5,Junior,Licenciado,4677,Medio tiempo
"HTML, Python, Tramitología, Carpintería",11,4.9,Junior,Otro,4678,Tiempo completo
"Atención al cliente, Inglés avanzado, Terapia Física, Contabilidad",2,3.4,Senior,Otro,4679,Tiempo completo
"Administración, Soporte técnico, Terapia Física, Ventas",18,4.5,Junior,Otro,4680,Medio tiempo
"Electricidad, Contabilidad, Diseño gráfico, Tramitología, Ciencia de datos",19,3.9,Senior,Otro,4681,Tiempo completo
"Electricidad, CSS, Administración",18,4.2,Medio,Otro,4682,Tiempo completo
"Tramitología, Ventas, Photoshop, Diseño gráfico",12,2.8,Junior,Otro,4683,Medio tiempo
"Inglés avanzado, Servicio al cliente, SEO, Contabilidad",13,1.6,Senior,Otro,4684,Medio tiempo
"Redacción, Diseño gráfico, Administración, Servicio al cliente, Soporte técnico",11,2.1,Senior,Otro,4685,Tiempo completo
"Tramitología, Python, Marketing digital, Carpintería",17,2.0,Medio,Otro,4686,Tiempo completo
"Mecánica automotriz, Illustrator, Instalaciones eléctricas, Tramitología",19,2.1,Medio,Otro,4687,Medio tiempo
"Redacción, Diseño UX/UI, Carpintería",15,3.1,Senior,Otro,4688,Medio tiempo
"Terapia Física, Soporte técnico, Python, Atención al cliente, Diseño UX/UI",16,1.3,Medio,Otro,4689,Medio tiempo
"Marketing digital, JavaScript, Diseño UX/UI",5,5.0,Medio,Otro,4690,Medio tiempo
"HTML, CSS, Programación en Java",8,1.5,Senior,Ingeniero,4691,Tiempo completo
"Mecánica automotriz, Atención al cliente, CSS, Tramitología",16,3.2,Senior,Otro,4692,Medio tiempo
"Instalaciones eléctricas, Ciencia de datos, Programación en Java, Diseño gráfico",17,1.1,Junior,Otro,4693,Tiempo completo
"Contabilidad, Ventas, CSS, JavaScript, Photoshop",3,4.2,Junior,Otro,4694,Medio tiempo
"CSS, Inglés avanzado, Mecánica automotriz, Atención al cliente, Diseño UX/UI",7,4.3,Junior,Otro,4695,Medio tiempo
"Photoshop, Programación en Java, Inglés avanzado, Traducción",12,1.1,Senior,Otro,4696,Tiempo completo
"HTML, Programación en Java, Ciencia de datos, Carpintería, Redacción",1,2.4,Junior,Otro,4697,Tiempo completo
"Administración, Traducción, Soporte técnico, Atención al cliente",10,2.0,Junior,Otro,4698,Tiempo completo
"Electricidad, Programación en Java, Servicio al cliente, Contabilidad",4,3.9,Medio,Otro,4699,Medio tiempo
"Traducción, Tramitología, Marketing digital, Contabilidad",1,1.9,Medio,Otro,4700,Tiempo completo
"Servicio al cliente, Carpintería, Ventas, Inglés avanzado, Soporte técnico",7,3.5,Medio,Otro,4701,Tiempo completo
"Administración, SEO, CSS",3,2.0,Medio,Otro,4702,Medio tiempo
"Programación en Java, Tramitología, Instalaciones eléctricas, Ventas, Contabilidad",20,2.2,Medio,Otro,4703,Tiempo completo
"Contabilidad, Ciencia de datos, Ventas, Traducción, HTML",20,1.2,Medio,Otro,4704,Tiempo completo
"Ciencia de datos, Inglés avanzado, Illustrator, Python, Servicio al cliente",15,3.4,Medio,Otro,4705,Tiempo completo
"Administración, Ventas, Terapia Física, Diseño gráfico, Mecánica automotriz",20,4.6,Medio,Otro,4706,Tiempo completo
"Redacción, Traducción, Servicio al cliente",2,4.4,Junior,Otro,4707,Tiempo completo
"Carpintería, Diseño UX/UI, CSS",2,2.3,Medio,Otro,4708,Medio tiempo
"JavaScript, Mecánica automotriz, Ventas, Electricidad, Administración",17,2.8,Junior,Otro,4709,Medio tiempo
"Ventas, Inglés avanzado, Redacción",5,3.1,Senior,Otro,4710,Medio tiempo
"HTML, Ciencia de datos, Marketing digital, SEO, Carpintería",18,4.3,Senior,Otro,4711,Medio tiempo
"Instalaciones eléctricas, Inglés avanzado, Terapia Física, JavaScript",13,3.5,Senior,Ingeniero,4712,Medio tiempo
"Ciencia de datos, Traducción, Programación en Java",5,3.4,Junior,Otro,4713,Tiempo completo
"SEO, Mecánica automotriz, Terapia Física, Tramitología",5,2.2,Medio,Otro,4714,Tiempo completo
"Python, Programación en Java, Marketing digital",3,1.6,Medio,Otro,4715,Medio tiempo
"Terapia Física, Redacción, Electricidad, Illustrator",11,1.6,Medio,Otro,4716,Medio tiempo
"Administración, Terapia Física, Mecánica automotriz, Soporte técnico",17,1.8,Medio,Otro,4717,Medio tiempo
"CSS, Illustrator, Traducción",6,1.3,Junior,Otro,4718,Medio tiempo
"JavaScript, HTML, Tramitología",11,3.1,Senior,Otro,4719,Tiempo completo
"Photoshop, Redacción, Mecánica automotriz, Python, Tramitología",2,3.8,Medio,Otro,4720,Tiempo completo
"Photoshop, HTML, Tramitología, CSS, Diseño UX/UI",3,3.5,Senior,Otro,4721,Medio tiempo
"Mecánica automotriz, Tramitología, CSS, Atención al cliente",20,1.2,Medio,Otro,4722,Tiempo completo
"Ventas, Diseño gráfico, Python, Instalaciones eléctricas",9,1.5,Medio,Otro,4723,Medio tiempo
"Diseño UX/UI, Python, Tramitología",18,3.6,Junior,Otro,4724,Medio tiempo
"Redacción, HTML, SEO, Terapia Física",13,1.7,Senior,Otro,4725,Tiempo completo
"Redacción, Terapia Física, Carpintería, Inglés avanzado, Diseño UX/UI",12,3.7,Junior,Otro,4726,Medio tiempo
"Soporte técnico, Diseño UX/UI, Mecánica automotriz",10,3.4,Senior,Ingeniero,4727,Medio tiempo
"Inglés avanzado, Traducción, JavaScript, Diseño UX/UI",4,2.8,Junior,Otro,4728,Tiempo completo
"Contabilidad, Inglés avanzado, Photoshop, Diseño gráfico, CSS",18,4.1,Junior,Otro,4729,Medio tiempo
"Diseño UX/UI, SEO, Servicio al cliente",4,4.8,Senior,Otro,4730,Medio tiempo
"Redacción, Illustrator, Traducción",17,2.7,Medio,Ingeniero,4731,Medio tiempo
"Illustrator, SEO, Inglés avanzado, Photoshop",19,4.6,Senior,Otro,4732,Medio tiempo
"CSS, Instalaciones eléctricas, Terapia Física, Inglés avanzado",3,1.2,Junior,Otro,4733,Medio tiempo
"Traducción, Ventas, Marketing digital, Python",19,3.0,Senior,Otro,4734,Tiempo completo
"Administración, Servicio al cliente, Terapia Física, JavaScript",10,1.7,Medio,Otro,4735,Medio tiempo
"Instalaciones eléctricas, Terapia Física, Contabilidad",12,4.8,Medio,Otro,4736,Tiempo completo
"Electricidad, JavaScript, CSS",14,2.9,Medio,Otro,4737,Medio tiempo
"HTML, Terapia Física, Electricidad",14,3.0,Senior,Otro,4738,Tiempo completo
"Administración, Photoshop, Redacción",9,1.7,Medio,Otro,4739,Tiempo completo
"Terapia Física, Diseño UX/UI, Atención al cliente, Carpintería, Diseño gráfico",15,2.8,Junior,Otro,4740,Medio tiempo
"Servicio al cliente, Electricidad, Carpintería, Instalaciones eléctricas",16,1.8,Senior,Otro,4741,Tiempo completo
"Electricidad, JavaScript, Soporte técnico, Diseño gráfico, Marketing digital",3,1.2,Senior,Otro,4742,Medio tiempo
"SEO, Tramitología, Servicio al cliente, Soporte técnico",7,1.9,Junior,Otro,4743,Medio tiempo
"HTML, Contabilidad, Terapia Física, SEO, Ciencia de datos",12,4.2,Senior,Otro,4744,Medio tiempo
"Atención al cliente, Terapia Física, Marketing digital, Inglés avanzado, Diseño UX/UI",5,4.7,Junior,Otro,4745,Medio tiempo
"CSS, Photoshop, Instalaciones eléctricas, Contabilidad, Atención al cliente",1,1.8,Senior,Otro,4746,Tiempo completo
"Programación en Java, HTML, Mecánica automotriz",15,4.3,Junior,Otro,4747,Medio tiempo
"Ventas, Atención al cliente, Carpintería",17,3.2,Medio,Otro,4748,Tiempo completo
"Tramitología, Soporte técnico, HTML",3,4.5,Junior,Otro,4749,Tiempo completo
"SEO, JavaScript, Tramitología, Programación en Java",2,1.5,Junior,Otro,4750,Tiempo completo
"Terapia Física, SEO, Contabilidad, CSS, Administración",20,1.1,Senior,Otro,4751,Tiempo completo
"JavaScript, Traducción, Soporte técnico",10,4.3,Medio,Otro,4752,Medio tiempo
"Atención al cliente, JavaScript, HTML, Programación en Java, Electricidad",18,3.6,Junior,Otro,4753,Tiempo completo
"Soporte técnico, HTML, Administración, Electricidad",7,3.4,Senior,Otro,4754,Medio tiempo
"JavaScript, Carpintería, Python, SEO",11,2.2,Junior,Otro,4755,Tiempo completo
"Atención al cliente, JavaScript, Administración, Contabilidad",11,3.9,Senior,Ingeniero,4756,Tiempo completo
"CSS, Tramitología, Photoshop, Administración, Servicio al cliente",8,3.2,Medio,Otro,4757,Medio tiempo
"CSS, Ventas, Carpintería, Illustrator",17,3.7,Medio,Otro,4758,Tiempo completo
"Diseño gráfico, Administración, HTML, Electricidad",4,1.5,Senior,Otro,4759,Tiempo completo
"Redacción, Programación en Java, Soporte técnico, Contabilidad, Servicio al cliente",5,2.0,Senior,Otro,4760,Tiempo completo
"Soporte técnico, JavaScript, Illustrator, HTML",1,1.9,Senior,Otro,4761,Medio tiempo
"SEO, Contabilidad, Diseño UX/UI, Illustrator",10,4.0,Medio,Otro,4762,Medio tiempo
"Carpintería, JavaScript, Ventas, Mecánica automotriz, Soporte técnico",1,2.5,Junior,Otro,4763,Medio tiempo
"Photoshop, Electricidad, Traducción",15,4.1,Junior,Otro,4764,Tiempo completo
"Administración, Illustrator, Instalaciones eléctricas",8,3.8,Junior,Otro,4765,Tiempo completo
"HTML, Marketing digital, Inglés avanzado",16,2.4,Junior,Licenciado,4766,Medio tiempo
"Photoshop, Instalaciones eléctricas, CSS, Carpintería",7,2.2,Medio,Otro,4767,Tiempo completo
"HTML, Instalaciones eléctricas, Carpintería, Programación en Java, Inglés avanzado",1,2.2,Senior,Otro,4768,Medio tiempo
"HTML, Marketing digital, SEO, Programación en Java, Diseño UX/UI",4,4.8,Senior,Otro,4769,Medio tiempo
"CSS, Inglés avanzado, Photoshop, Marketing digital",12,4.2,Medio,Otro,4770,Medio tiempo
"Atención al cliente, Ventas, Contabilidad, Inglés avanzado",17,3.2,Junior,Ingeniero,4771,Medio tiempo
"Carpintería, Traducción, HTML",9,1.3,Medio,Otro,4772,Medio tiempo
"Contabilidad, CSS, Administración",20,2.3,Junior,Licenciado,4773,Tiempo completo
"HTML, Soporte técnico, Diseño gráfico",1,2.7,Medio,Otro,4774,Medio tiempo
"CSS, Administración, Marketing digital, Terapia Física, Servicio al cliente",6,5.0,Medio,Otro,4775,Tiempo completo
"HTML, Servicio al cliente, Traducción",2,3.9,Medio,Otro,4776,Medio tiempo
"Administración, Contabilidad, Terapia Física, Traducción, Soporte técnico",5,2.9,Junior,Ingeniero,4777,Medio tiempo
"Contabilidad, Administración, Terapia Física, Carpintería, Tramitología",12,1.5,Senior,Otro,4778,Tiempo completo
"Diseño gráfico, Redacción, Contabilidad",14,4.5,Senior,Otro,4779,Medio tiempo
"Administración, Terapia Física, Electricidad, JavaScript, Instalaciones eléctricas",20,2.0,Medio,Ingeniero,4780,Tiempo completo
"Mecánica automotriz, Traducción, HTML, Diseño gráfico, Servicio al cliente",12,2.8,Medio,Otro,4781,Medio tiempo
"Programación en Java, Tramitología, Ventas, Carpintería",2,4.3,Medio,Otro,4782,Medio tiempo
"Programación en Java, Photoshop, SEO",13,4.0,Junior,Otro,4783,Tiempo completo
"Redacción, Mecánica automotriz, Electricidad",11,2.6,Junior,Otro,4784,Tiempo completo
"Diseño UX/UI, Programación en Java, Redacción, Electricidad, SEO",16,4.6,Medio,Ingeniero,4785,Tiempo completo
"Atención al cliente, Diseño gráfico, Soporte técnico",13,3.4,Senior,Otro,4786,Tiempo completo
"Atención al cliente, Ventas, Carpintería",19,3.3,Junior,Otro,4787,Medio tiempo
"Tramitología, JavaScript, Contabilidad, Carpintería",12,1.3,Junior,Otro,4788,Tiempo completo
"Mecánica automotriz, Contabilidad, Ciencia de datos",13,2.3,Senior,Otro,4789,Medio tiempo
"Terapia Física, HTML, Diseño UX/UI, Carpintería",6,1.3,Medio,Otro,4790,Medio tiempo
"Traducción, Administración, Illustrator",9,3.1,Senior,Otro,4791,Medio tiempo
"Ventas, Photoshop, CSS, Inglés avanzado, Programación en Java",19,4.6,Medio,Licenciado,4792,Medio tiempo
"Diseño UX/UI, Illustrator, Carpintería, Administración, Traducción",4,4.5,Junior,Otro,4793,Medio tiempo
"Ventas, SEO, CSS, Illustrator",1,1.8,Junior,Otro,4794,Medio tiempo
"Ciencia de datos, Ventas, Servicio al cliente, Marketing digital",8,1.3,Medio,Otro,4795,Medio tiempo
"Python, Electricidad, Illustrator",9,3.2,Medio,Otro,4796,Medio tiempo
"Diseño gráfico, Marketing digital, Carpintería",2,2.5,Junior,Otro,4797,Tiempo completo
"Terapia Física, Photoshop, Python, Ciencia de datos, Diseño UX/UI",1,1.8,Senior,Otro,4798,Tiempo completo
"JavaScript, Diseño gráfico, Illustrator, Inglés avanzado",9,4.3,Senior,Licenciado,4799,Medio tiempo
"Python, Tramitología, Instalaciones eléctricas, CSS",7,1.8,Medio,Otro,4800,Medio tiempo
"Traducción, Carpintería, Soporte técnico",18,4.3,Senior,Otro,4801,Medio tiempo
"JavaScript, Servicio al cliente, HTML, Photoshop, SEO",1,2.4,Medio,Otro,4802,Tiempo completo
"Terapia Física, Photoshop, Carpintería, Diseño gráfico, Electricidad",6,2.8,Junior,Otro,4803,Medio tiempo
"Photoshop, Servicio al cliente, Marketing digital, Administración",2,3.4,Medio,Otro,4804,Tiempo completo
"Traducción, Ciencia de datos, Python",19,1.2,Senior,Otro,4805,Medio tiempo
"Inglés avanzado, Python, Tramitología, Programación en Java",18,2.4,Junior,Otro,4806,Medio tiempo
"Marketing digital, Diseño UX/UI, Contabilidad",17,4.9,Junior,Ingeniero,4807,Tiempo completo
"SEO, Terapia Física, Marketing digital, CSS",18,3.0,Senior,Otro,4808,Tiempo completo
"Traducción, Diseño gráfico, Marketing digital, JavaScript",9,1.8,Junior,Otro,4809,Medio tiempo
"Diseño UX/UI, Mecánica automotriz, Servicio al cliente",16,3.3,Senior,Otro,4810,Medio tiempo
"Terapia Física, Ciencia de datos, Redacción, Photoshop, Soporte técnico",20,4.2,Junior,Otro,4811,Medio tiempo
"HTML, Administración, Traducción",13,2.3,Senior,Otro,4812,Tiempo completo
"Traducción, Electricidad, Servicio al cliente",2,3.3,Senior,Otro,4813,Medio tiempo
"Ciencia de datos, Python, JavaScript, Photoshop",18,4.5,Junior,Otro,4814,Medio tiempo
"Soporte técnico, Ciencia de datos, Programación en Java, Marketing digital, Diseño UX/UI",13,4.5,Medio,Licenciado,4815,Medio tiempo
"Tramitología, Administración, Contabilidad, Instalaciones eléctricas, Electricidad",7,3.2,Senior,Otro,4816,Medio tiempo
"Soporte técnico, Python, Electricidad",17,4.5,Medio,Otro,4817,Medio tiempo
"Python, Instalaciones eléctricas, JavaScript",11,3.7,Junior,Otro,4818,Medio tiempo
"Python, Electricidad, Diseño gráfico, Atención al cliente, HTML",20,3.7,Medio,Otro,4819,Medio tiempo
"CSS, Ventas, Inglés avanzado",3,4.6,Medio,Otro,4820,Medio tiempo
"Mecánica automotriz, Programación en Java, JavaScript, Marketing digital",8,1.4,Senior,Otro,4821,Medio tiempo
"Traducción, Terapia Física, Servicio al cliente, Soporte técnico",16,2.5,Senior,Otro,4822,Medio tiempo
"Ciencia de datos, Redacción, Tramitología",8,3.5,Medio,Otro,4823,Medio tiempo
"Soporte técnico, Contabilidad, Terapia Física, Electricidad, Administración",19,2.2,Senior,Otro,4824,Tiempo completo
"Marketing digital, Instalaciones eléctricas, Soporte técnico",8,2.9,Junior,Otro,4825,Medio tiempo
"Electricidad, Programación en Java, Diseño gráfico, Mecánica automotriz",12,4.0,Junior,Otro,4826,Tiempo completo
"Tramitología, Electricidad, CSS",8,3.3,Senior,Ingeniero,4827,Tiempo completo
"Instalaciones eléctricas, CSS, Photoshop, Servicio al cliente",3,4.2,Junior,Otro,4828,Medio tiempo
"Diseño gráfico, Instalaciones eléctricas, HTML",7,3.7,Junior,Otro,4829,Medio tiempo
"Tramitología, JavaScript, Illustrator, Atención al cliente, Inglés avanzado",6,2.3,Medio,Otro,4830,Medio tiempo
"Atención al cliente, Tramitología, Marketing digital, Contabilidad, Inglés avanzado",2,3.6,Junior,Otro,4831,Tiempo completo
"JavaScript, Contabilidad, Photoshop, Tramitología",3,3.9,Senior,Otro,4832,Medio tiempo
"Electricidad, Programación en Java, Traducción, Inglés avanzado, Redacción",6,3.2,Medio,Otro,4833,Tiempo completo
"Ventas, Servicio al cliente, Programación en Java, CSS",4,1.2,Medio,Otro,4834,Tiempo completo
"Terapia Física, Administración, Illustrator, Python, Tramitología",16,4.0,Junior,Otro,4835,Medio tiempo
"HTML, Instalaciones eléctricas, Carpintería, Inglés avanzado, Electricidad",18,1.2,Junior,Otro,4836,Tiempo completo
"Programación en Java, HTML, Servicio al cliente",16,1.1,Junior,Licenciado,4837,Tiempo completo
"Mecánica automotriz, Ciencia de datos, Python",8,2.7,Medio,Otro,4838,Medio tiempo
"Ventas, Illustrator, Mecánica automotriz",13,3.9,Medio,Otro,4839,Medio tiempo
"Programación en Java, Photoshop, Marketing digital, Traducción, Terapia Física",8,2.1,Medio,Otro,4840,Tiempo completo
"Servicio al cliente, Atención al cliente, Contabilidad, SEO, Administración",18,1.7,Medio,Otro,4841,Tiempo completo
"Atención al cliente, Ventas, Electricidad, Python",9,1.9,Senior,Otro,4842,Medio tiempo
"Diseño UX/UI, Diseño gráfico, Traducción",10,1.7,Junior,Otro,4843,Tiempo completo
"Atención al cliente, HTML, Ventas, CSS, Traducción",4,2.4,Medio,Otro,4844,Tiempo completo
"Diseño UX/UI, Redacción, HTML, Programación en Java",8,1.9,Medio,Otro,4845,Medio tiempo
"Administración, Instalaciones eléctricas, Electricidad",3,1.9,Medio,Otro,4846,Tiempo completo
"Illustrator, Traducción, Diseño gráfico, Photoshop, Marketing digital",19,3.1,Senior,Otro,4847,Medio tiempo
"Inglés avanzado, Atención al cliente, Servicio al cliente",1,3.4,Medio,Otro,4848,Medio tiempo
"HTML, JavaScript, Ciencia de datos, Diseño gráfico",12,3.3,Senior,Otro,4849,Medio tiempo
"Diseño gráfico, Inglés avanzado, SEO, Diseño UX/UI, Tramitología",17,1.1,Junior,Otro,4850,Tiempo completo
"CSS, Python, Tramitología, Traducción",16,2.1,Medio,Otro,4851,Medio tiempo
"Ventas, JavaScript, Illustrator, Instalaciones eléctricas, Electricidad",7,4.6,Junior,Otro,4852,Tiempo completo
"Terapia Física, Ventas, Programación en Java, Contabilidad",2,4.0,Senior,Otro,4853,Tiempo completo
"Administración, Illustrator, Marketing digital",20,4.9,Junior,Otro,4854,Medio tiempo
"Mecánica automotriz, Carpintería, Terapia Física, Redacción, Illustrator",5,4.0,Medio,Otro,4855,Tiempo completo
"Terapia Física, Diseño UX/UI, Ciencia de datos, Marketing digital",3,2.9,Medio,Otro,4856,Tiempo completo
"Mecánica automotriz, Programación en Java, Ventas",14,1.1,Medio,Otro,4857,Tiempo completo
"Programación en Java, Ciencia de datos, JavaScript, Contabilidad",2,1.7,Junior,Otro,4858,Tiempo completo
"Diseño gráfico, Contabilidad, Ventas, Electricidad",13,3.7,Senior,Otro,4859,Tiempo completo
"Diseño UX/UI, Redacción, Ventas, Marketing digital, Electricidad",8,2.4,Medio,Otro,4860,Tiempo completo
"Electricidad, Contabilidad, Tramitología",18,3.5,Senior,Otro,4861,Medio tiempo
"Instalaciones eléctricas, Contabilidad, Ventas",11,4.6,Senior,Otro,4862,Tiempo completo
"SEO, Programación en Java, Administración, Tramitología",10,2.6,Medio,Otro,4863,Tiempo completo
"HTML, Ciencia de datos, Atención al cliente",6,2.9,Junior,Otro,4864,Tiempo completo
"Ciencia de datos, Photoshop, Traducción, Programación en Java",17,2.1,Medio,Otro,4865,Tiempo completo
"Mecánica automotriz, Administración, Servicio al cliente, Carpintería, Illustrator",9,3.3,Medio,Otro,4866,Tiempo completo
"Soporte técnico, CSS, SEO",5,1.1,Senior,Otro,4867,Medio tiempo
"Redacción, Ciencia de datos, Diseño gráfico, Instalaciones eléctricas",16,2.0,Junior,Otro,4868,Medio tiempo
"Ciencia de datos, Diseño UX/UI, Soporte técnico, Servicio al cliente",19,2.4,Medio,Otro,4869,Tiempo completo
"Instalaciones eléctricas, Python, SEO, JavaScript",7,1.7,Senior,Otro,4870,Medio tiempo
"Administración, Soporte técnico, SEO",8,2.1,Senior,Otro,4871,Tiempo completo
"Illustrator, Python, Programación en Java",3,2.2,Senior,Otro,4872,Tiempo completo
"HTML, Marketing digital, Illustrator",7,2.5,Junior,Otro,4873,Medio tiempo
"Diseño UX/UI, Administración, Tramitología",8,3.7,Medio,Otro,4874,Medio tiempo
"SEO, Inglés avanzado, HTML",13,4.0,Senior,Otro,4875,Tiempo completo
"Electricidad, Traducción, Ciencia de datos, Diseño UX/UI, Diseño gráfico",9,2.6,Senior,Otro,4876,Tiempo completo
"SEO, Administración, Instalaciones eléctricas",11,2.5,Junior,Otro,4877,Tiempo completo
"Tramitología, Terapia Física, Atención al cliente",11,1.7,Medio,Otro,4878,Tiempo completo
"Soporte técnico, Contabilidad, Ciencia de datos",1,3.0,Medio,Otro,4879,Tiempo completo
"Mecánica automotriz, Terapia Física, Illustrator, Ventas",17,2.1,Junior,Otro,4880,Medio tiempo
"JavaScript, Mecánica automotriz, Illustrator",8,3.9,Junior,Licenciado,4881,Medio tiempo
"Mecánica automotriz, Instalaciones eléctricas, Ciencia de datos, Photoshop, Carpintería",5,2.9,Medio,Ingeniero,4882,Medio tiempo
"Tramitología, Instalaciones eléctricas, Ventas",2,2.2,Medio,Otro,4883,Tiempo completo
"Atención al cliente, Contabilidad, Soporte técnico",19,3.0,Senior,Otro,4884,Tiempo completo
"Ciencia de datos, Contabilidad, Tramitología",18,4.2,Medio,Otro,4885,Medio tiempo
"Photoshop, HTML, Electricidad",18,2.0,Junior,Otro,4886,Medio tiempo
"Electricidad, Instalaciones eléctricas, Administración",14,4.0,Senior,Otro,4887,Tiempo completo
"Marketing digital, Ciencia de datos, Redacción, JavaScript, Atención al cliente",3,3.2,Medio,Otro,4888,Medio tiempo
"Ciencia de datos, HTML, Inglés avanzado, Instalaciones eléctricas",17,1.3,Senior,Licenciado,4889,Medio tiempo
"Carpintería, Ventas, Administración",6,2.7,Senior,Otro,4890,Medio tiempo
"Instalaciones eléctricas, Diseño UX/UI, Carpintería",20,3.7,Senior,Otro,4891,Medio tiempo
"Ciencia de datos, Ventas, Instalaciones eléctricas, Tramitología",12,3.6,Senior,Otro,4892,Tiempo completo
"Instalaciones eléctricas, Illustrator, Soporte técnico, Terapia Física",5,2.9,Junior,Otro,4893,Medio tiempo
"Contabilidad, Marketing digital, Photoshop, Python, Programación en Java",11,5.0,Senior,Otro,4894,Tiempo completo
"Administración, Terapia Física, Python, CSS",16,4.8,Senior,Otro,4895,Medio tiempo
"JavaScript, Python, Ciencia de datos, Ventas, Atención al cliente",15,1.2,Junior,Otro,4896,Medio tiempo
"Inglés avanzado, Atención al cliente, Carpintería, JavaScript, Electricidad",16,4.6,Senior,Otro,4897,Tiempo completo
"Tramitología, Electricidad, SEO, Photoshop, JavaScript",11,4.5,Medio,Otro,4898,Tiempo completo
"HTML, Tramitología, Ciencia de datos, Carpintería, Atención al cliente",4,2.8,Senior,Licenciado,4899,Tiempo completo
"HTML, Ciencia de datos, Electricidad",20,2.0,Senior,Otro,4900,Medio tiempo
"Administración, SEO, Diseño gráfico, Programación en Java, Mecánica automotriz",7,4.3,Junior,Otro,4901,Medio tiempo
"HTML, Administración, SEO, CSS, Servicio al cliente",20,3.3,Medio,Otro,4902,Tiempo completo
"Diseño UX/UI, Traducción, Carpintería",11,3.3,Junior,Otro,4903,Medio tiempo
"Tramitología, Inglés avanzado, HTML, Instalaciones eléctricas, SEO",18,2.1,Junior,Otro,4904,Medio tiempo
"Diseño gráfico, Tramitología, Terapia Física",4,1.7,Senior,Otro,4905,Medio tiempo
"JavaScript, Redacción, Programación en Java, Administración",4,3.7,Junior,Otro,4906,Tiempo completo
"Administración, Ventas, Programación en Java, Python, Diseño gráfico",6,3.6,Junior,Otro,4907,Medio tiempo
"Redacción, SEO, Photoshop",4,4.0,Junior,Otro,4908,Tiempo completo
"Administración, CSS, Diseño gráfico, JavaScript, Carpintería",20,4.1,Medio,Otro,4909,Tiempo completo
"Contabilidad, Electricidad, Administración",11,3.7,Junior,Otro,4910,Medio tiempo
"SEO, Instalaciones eléctricas, Traducción",18,3.2,Senior,Licenciado,4911,Medio tiempo
"Tramitología, Inglés avanzado, Ciencia de datos, JavaScript, HTML",2,2.3,Junior,Otro,4912,Tiempo completo
"CSS, Tramitología, Traducción, Electricidad, Ciencia de datos",1,4.7,Senior,Licenciado,4913,Medio tiempo
"Programación en Java, Mecánica automotriz, Servicio al cliente",4,4.9,Junior,Otro,4914,Medio tiempo
"Atención al cliente, SEO, Soporte técnico",2,1.4,Junior,Otro,4915,Tiempo completo
"SEO, Soporte técnico, Servicio al cliente, Diseño gráfico, Illustrator",16,4.8,Medio,Otro,4916,Medio tiempo
"Servicio al cliente, Instalaciones eléctricas, Carpintería",1,3.9,Medio,Otro,4917,Tiempo completo
"HTML, Traducción, JavaScript, Illustrator",12,1.9,Junior,Otro,4918,Medio tiempo
"Ventas, Redacción, Servicio al cliente",5,4.0,Medio,Otro,4919,Tiempo completo
"CSS, Terapia Física, Ciencia de datos, Python, Marketing digital",8,4.5,Junior,Otro,4920,Tiempo completo
"Diseño gráfico, Mecánica automotriz, HTML, Programación en Java, Tramitología",13,2.7,Medio,Otro,4921,Medio tiempo
"Mecánica automotriz, HTML, SEO",5,1.8,Senior,Otro,4922,Tiempo completo
